gals,field,morph,z,log_m,r_edge,sigma_edge,ar,pa,f1_maj,rec_maj,prec_maj,r_05,Deltar_05
19342,goodss,DISKSPH,0.666,10.192,11.5,2.262,0.2107,22.2278,0.474,1.0,0.31,14.48524906929018,0.16298821392692964
712,goodss,DISKIRR,0.6596,10.711,14.5,5.053,0.7099,-77.395,0.922,0.955,0.891,16.16559346695187,0.04207748790267307
28100,egs,DISKIRR,0.8079,10.619,10.5,16.536,0.71,0.0,0.886,0.819,0.965,10.036065353008796,0.06282544526399736
4760,cosmos,DISKIRR,0.7307999730110168,10.469,13.5,5.183,0.6,30.0,0.903,0.902,0.904,12.674668804825616,0.014303478175917261
13582,egs,DISKSPH,0.7429,10.46,10.5,14.3,0.4053,82.8359,0.792,0.995,0.657,10.611535184928968,0.04101192934525
16611,cosmos,DISKIRR,0.7975,10.476,10.5,16.754,0.55,-45.0,0.851,0.986,0.748,11.982676245423074,0.008498737684372037
8930,uds,DISK,1.0117000341415403,11.062,19.5,6.736,0.2063,43.7665,0.806,1.0,0.675,22.579227653591744,0.0
13010,uds,DISK,0.949400007724762,10.911,15.5,6.08,0.78,90.0,0.927,0.899,0.956,15.363566042450014,0.116942653926844
14553,goodsn,DISKSPH,0.517,10.841,19.5,4.359,0.4601,-24.0961,0.889,0.836,0.95,17.404483726753472,0.2259957565960381
5962,uds,DISKSPH,0.9208,10.852,12.5,34.117,0.5579,-78.9625,0.78,0.989,0.644,14.122137774942452,0.06659003538521435
20606,cosmos,DISKSPH,0.7302,10.766,15.5,9.097,0.331,-15.7635,0.82,0.888,0.761,13.652330188031206,0.09132620077692599
21353,uds,DISKSPH,0.5045,10.826,18.5,4.196,0.51,30.0,0.921,0.861,0.99,16.34602831572721,0.04990197107260663
8451,uds,DISKSPH,0.3358,10.402,7.5,9.356,0.6721,36.8578,0.907,0.941,0.875,8.199259011716988,0.21335403059055913
4725,egs,DISK,0.8206999897956848,10.47,9.5,20.896,0.7153,-22.252,0.867,0.976,0.781,10.94273913130643,0.17579714582659556
2920,goodsn,DISK,0.419,10.522,13.5,6.809,0.39,75.0,0.85,0.98,0.75,14.555882320877114,0.10684948506780145
12824,egs,DISKSPH,0.6312000155448914,10.74,13.5,11.988,0.7082,-8.264,0.842,0.749,0.961,11.203256791843756,0.22367238632237918
18790,cosmos,DISKSPH,0.2226999998092651,10.473,15.5,1.676,0.5562,-80.2934,0.777,0.636,0.999,11.271295522740347,0.12951660101683604
3020,egs,DISK,0.8378999829292297,10.319,9.5,7.059,0.773,10.5,0.917,0.99,0.854,10.795991514276295,0.021781195884420623
17329,goodsn,DISKSPH,0.3766,10.266,17.5,0.96,0.3399,-56.9498,0.873,0.978,0.788,18.80233653420746,0.08790153950513224
20435,goodsn,DISKSPH,0.858,10.676,8.5,39.371,0.8,-1.0,0.872,0.996,0.776,9.500902122769723,0.09771531817345835
7290,uds,DISK,0.8524,10.449,10.5,8.599,0.4331,31.6388,0.869,0.89,0.849,9.312790512554885,0.10967257324663515
5656,goodsn,DISK,0.507,10.72,25.5,4.111,0.3345,-35.3292,0.883,0.881,0.885,23.247671867896965,0.009109501585131574
1741,goodsn,DISKSPH,0.97,10.817,9.5,33.024,0.6,-14.0,0.789,0.985,0.658,13.097157235293333,0.26259469879221997
10266,goodsn,DISK,0.458,10.241,19.5,0.871,0.2942,-83.4448,0.802,0.897,0.726,21.049556489729703,0.06199891953938308
4700,goodsn,DISK,0.747,10.616,17.5,5.11,0.4433,-83.4717,0.921,0.885,0.96,16.740754030440637,0.0674469599997044
5155,cosmos,DISKSPH,0.7982,10.886,10.5,21.815,0.7784,86.7384,0.913,0.974,0.86,12.612345764751026,0.2204852072590855
15473,egs,DISK,1.0214999914169312,10.319,8.5,20.087,0.865,22.1631,0.849,0.996,0.739,11.396624387625597,0.12752030060706698
20705,cosmos,DISK,0.925100028514862,10.319,8.0,16.232,0.25,-52.0,0.436,1.0,0.279,10.08152990143538,0.037833594361277756
9650,egs,DISKSPH,0.9557,10.622,7.5,43.497,0.4518,2.9886,0.642,1.0,0.473,8.761721221864725,0.0637999208313994
16013,goodsn,DISKIRR,0.8213,10.291,10.5,10.055,0.7212,1.8885,0.811,0.682,1.0,9.789837480845266,0.0843788616651987
2567,egs,DISK,0.241699993610382,10.036,11.5,2.001,0.5551,33.213,0.933,0.947,0.919,11.649253358955386,0.04156602782854901
12873,goodss,DISK,0.3368,10.866,25.5,2.104,0.3309,1.7081,0.802,0.955,0.692,23.474462068444723,0.12446555874179543
8252,egs,DISKSPH,0.7361999750137329,10.826,13.5,12.243,0.4883,82.1364,0.763,0.871,0.678,12.61197599599496,0.11611652351681556
15459,cosmos,DISK,0.2187,10.578,14.5,2.064,0.95,10.0,0.767,0.64,0.958,12.774527141349765,0.10603556346289511
18712,goodss,DISK,0.953,11.026,17.5,9.751,0.75,-10.0,0.918,0.887,0.952,18.54244624199728,0.030633128713622115
16563,cosmos,DISKSPH,0.6834999918937683,11.096,16.5,18.394,0.5937,30.6842,0.888,0.988,0.807,18.856771430690465,0.18651078318003944
8781,goodsn,DISKSPH,0.9295,10.622,9.5,20.43,0.5183,74.7803,0.787,1.0,0.648,11.011672001126163,0.08028724069249349
18174,uds,DISK,0.987,11.284,23.5,1.371,0.25,70.0,0.886,0.943,0.836,22.309144616249245,0.01486380896261097
8282,goodsn,DISK,0.9032,11.047,17.5,4.032,0.8674230991233473,10.0,0.875,0.811,0.95,17.135758532995748,0.17849558712514757
13256,goodsn,DISKSPH,0.85,10.372,12.5,14.246,0.3401,-9.4825,0.632,1.0,0.462,17.485963013887844,0.20986748436405078
12611,goodss,DISKIRR,0.84,10.632,17.5,3.448,0.55,75.0,0.78,0.658,0.957,16.127527212437833,0.019940964464604805
25015,goodsn,DISK,0.836,10.569,12.5,9.176,0.4401,-61.7676,0.877,0.847,0.909,11.707687405599604,0.030181057883583606
3946,cosmos,DISK,0.5662000179290771,10.685,17.5,3.623,0.78,45.0,0.911,0.855,0.974,16.305867281583573,0.01879051655575792
11299,uds,DISKSPH,0.6418,10.674,14.5,6.15,0.4076,-39.7746,0.895,0.943,0.853,14.804377959482425,0.048771219186604986
16617,goodss,DISK,0.896,10.511,8.5,18.22,0.82,45.0,0.864,0.996,0.762,9.848551979195888,0.04718041133731632
8347,cosmos,DISK,0.6674,10.845,19.5,0.771,0.1711,-71.2135,0.541,1.0,0.371,20.321457195350114,0.04690482586527389
9030,uds,DISKSPH,0.6456,10.622,12.5,7.998,0.4171,-48.1957,0.832,0.963,0.732,11.855997968844733,0.011063647131702381
912,goodsn,DISKSPH,0.595,10.979,16.5,6.817,0.6837,19.4793,0.843,0.729,1.0,13.608889403412714,0.08838907270775842
19516,egs,DISKSPH,0.5753999948501587,11.011,21.5,3.954,0.8,82.0,0.726,0.603,0.911,17.308905713370102,0.3798263270539577
