gals,field,morph,z,log_m,r_edge,sigma_edge,ar,pa,f1_maj,rec_maj,prec_maj,r_05,Deltar_05
872,egs,DISK,0.9670000076293944,10.235,9.5,11.376,0.1818,-76.5059,0.571,1.0,0.4,10.889001915416163,0.04007503486089192
12033,cosmos,DISK,0.6867,10.751,12.5,16.797,0.3986,-24.5212,0.806,0.99,0.68,12.403743999154152,0.03167822557605915
14470,egs,DISK,0.5166000127792358,10.252,9.5,2.746,0.268,-34.9701,0.642,0.967,0.48,9.020000953708315,0.035617228641639076
15763,goodsn,DISK,0.9354,11.174,17.5,2.014,0.2886,23.9899,0.649,0.992,0.482,25.215425881852237,0.2876983816488847
27825,egs,DISKSPH,0.2008000016212463,10.051,10.5,1.676,0.7414,-22.4155,0.862,0.76,0.995,8.674942497632381,0.12884567770717237
20619,cosmos,DISKSPH,0.3479,10.759,16.5,3.966,0.5351,-68.5683,0.871,0.865,0.878,16.66146352463814,0.23560389007214233
11232,goodss,DISKSPH,0.457,11.006,29.5,1.703,0.69,109.0,0.734,0.58,1.0,25.91203833406601,0.6077677297236319
16721,egs,DISKSPH,0.2782999873161316,9.984,8.5,4.825,0.6329,14.8045,0.867,0.946,0.801,9.22916082739264,0.23619621209691932
13728,cosmos,DISKSPH,0.6879,10.51,9.5,15.24,0.4676,72.3974,0.699,0.999,0.538,11.628448054866185,0.08468496757723443
20934,goodss,DISKSPH,0.418,10.972,17.5,6.268,0.8,30.0,0.87,0.947,0.804,21.312308231411716,0.3878984765333803
11181,goodsn,DISKSPH,0.634,10.186,9.5,1.942,0.2593,-60.77,0.485,1.0,0.32,11.22520485398959,0.09512876810635384
6264,goodss,DISK,0.735,10.782,11.5,10.933,0.4012,87.7954,0.797,0.983,0.67,11.536389873216047,0.1454401151214647
15937,uds,DISKIRR,0.9957000017166138,10.734,12.5,11.229,0.6223,61.6525,0.899,0.823,0.991,12.781819772709442,0.1419509122704835
12759,cosmos,DISK,0.92330002784729,11.039,22.5,4.092,0.69,11.0,0.816,0.689,1.0,22.638929030082473,0.019877488061668558
6015,goodss,DISK,0.735,10.76,17.5,6.091,0.7,90.0,0.779,0.638,1.0,15.048592430253112,0.365813715984765
19940,goodsn,DISKSPH,0.847,10.619,15.5,6.596,0.6,-35.0,0.857,0.779,0.952,14.666824049989536,0.2700609822474139
19828,goodsn,DISKSPH,0.4834,10.25,9.5,12.714,0.3063,-17.0194,0.679,0.909,0.542,9.336938690065827,0.17656722009218861
9405,uds,DISKIRR,0.9868,10.416,8.5,29.59,0.7473,-32.6214,0.89,0.901,0.879,9.300417938770492,0.11391541679466943
13608,goodsn,DISKSPH,0.4735,10.21,10.5,5.12,0.5879,-33.2008,0.924,0.892,0.959,10.366958961851587,0.07327267796197745
16165,uds,DISKSPH,0.9337999820709229,10.862,13.5,13.84,0.85,6.0,0.867,0.765,1.0,12.760214955507465,0.13913073558701206
10494,goodsn,DISK,0.909,10.746,17.5,1.939,0.3464,36.2761,0.872,0.916,0.832,16.273092015809947,0.03720669177811253
12246,goodsn,DISKSPH,0.853,10.82,9.5,33.484,0.8051,-76.613,0.906,0.983,0.84,10.131039657593279,0.1468675064526075
5127,cosmos,DISKIRR,0.9868000149726868,10.231,5.5,77.155,0.372,77.4372,0.519,1.0,0.35,7.072289638412884,0.11952890007782468
10801,goodsn,DISK,0.5565,10.291,15.5,2.381,0.8116,23.2637,0.923,0.858,0.999,15.243759255072558,0.07602104277096111
17911,cosmos,DISKSPH,0.8547999858856201,11.202,21.5,18.377,0.4776,-51.1109,0.851,0.844,0.86,21.284905179808945,0.2859816082215094
13709,cosmos,DISK,0.7222,10.404,11.5,6.809,0.78,-15.0,0.921,0.919,0.922,12.414024678795965,0.09093131834241464
4335,uds,DISKSPH,0.8230000138282776,10.435,11.5,7.61,0.5957,45.4496,0.702,0.827,0.609,25.083667064410495,0.6373811378530525
18057,goodss,DISKSPH,0.523,10.703,21.5,1.47,0.2692,79.39,0.879,0.989,0.79,23.022121309830027,0.06357572550549351
2828,egs,DISKSPH,0.4244999885559082,10.402,10.5,7.735,0.75,-80.0,0.938,0.921,0.955,9.864958561150312,0.07011887905895786
13533,egs,DISKSPH,0.960099995136261,10.979,9.5,37.732,0.4159,86.9721,0.763,0.981,0.624,9.187914234704307,0.062259860961144886
16789,cosmos,DISKSPH,0.3488,10.478,15.5,1.588,0.6566,-20.0578,0.729,0.573,1.0,12.157157428256701,0.09178632965258815
19948,cosmos,DISKSPH,0.7093999981880188,10.25,6.5,32.354,0.3671,50.8034,0.68,1.0,0.515,7.069399035963452,0.0476013455353782
1447,cosmos,DISK,0.8440999984741211,10.416,8.5,5.878,0.1916,56.3963,0.42,1.0,0.266,12.87111902554106,0.06492487882871001
16538,cosmos,DISKSPH,0.9020000100135804,10.797,9.5,29.297,0.312,-77.9651,0.605,1.0,0.433,10.66659932651139,0.053345973359936405
3768,uds,DISK,0.7976999878883362,10.85,25.5,1.333,0.95,-55.0,0.545,0.375,1.0,17.529146103173645,0.15897855367967484
18594,goodsn,DISKSPH,0.476,10.354,19.5,1.488,0.6426,-43.7106,0.793,0.673,0.966,17.177004224027506,0.262752088671239
22146,egs,DISK,0.7167,9.973,12.5,1.848,0.1,-36.0,0.382,1.0,0.236,14.463545093616961,0.01852430547486339
14408,goodss,DISKIRR,0.576,10.562,14.5,0.44,0.2264,73.3487,0.517,1.0,0.349,18.22791089070072,0.015497533179250178
30033,egs,DISK,0.4625,10.115,11.5,3.173,0.9394,58.7124,0.906,0.857,0.962,12.34367209112049,0.15177678690093777
15691,uds,DISKSPH,0.9107999801635742,10.487,13.5,22.607,0.32,40.0,0.789,0.981,0.66,14.0558280629479,0.01401807504019692
17396,goodsn,DISKSPH,0.454,10.651,11.5,12.148,0.355,32.1364,0.74,0.879,0.639,9.99985574784902,0.09698267485865575
946,goodss,DISK,0.841,10.444,11.5,10.279,0.6,60.0,0.911,0.914,0.908,10.57328574548307,0.012270403350410408
5023,goodsn,DISK,0.6373,10.784,9.5,23.228,0.7421,78.337,0.917,0.915,0.918,9.345234769064907,0.0906880353656192
5260,goodsn,DISKSPH,0.97,10.709,13.5,14.204,0.75,10.0,0.933,0.919,0.947,13.558044307161968,0.039131993074660976
8647,uds,DISKSPH,0.7807000279426575,10.322,8.5,16.938,0.57,-25.0364,0.894,0.961,0.835,8.81041893548554,0.06785483880330301
16605,goodsn,DISK,0.6827,10.571,16.5,3.785,0.3785,-63.2116,0.851,0.958,0.765,16.72057246074323,0.15926823724375871
12209,uds,DISK,0.9136000275611876,11.1,15.0,19.542,0.23,-8.0,0.565,1.0,0.394,24.645143130818855,0.0056399976751316805
9738,uds,DISKSPH,0.8048,10.98,14.5,14.482,0.5799,-77.393,0.832,0.787,0.881,12.01987759412506,0.17633725937360034
19868,egs,DISK,0.5090000033378601,10.237,14.5,1.576,0.27,44.0,0.747,1.0,0.597,21.255511305676915,0.21127460682463317
17075,cosmos,DISKSPH,0.5701000094413757,10.476,9.5,14.372,0.66,0.0,0.875,1.0,0.778,10.600342868058862,0.03329648342962854
14366,uds,DISKSPH,0.9068999886512756,10.74,16.5,7.525,0.65,-43.0,0.907,0.899,0.915,15.935276876539806,0.013925832162156482
8014,goodsn,DISKSPH,0.6555,10.282,8.5,6.143,0.6112,65.2634,0.89,0.904,0.876,7.971757970916095,0.04484097286195965
19586,egs,DISK,0.3526000082492828,10.319,14.5,2.181,0.65,55.0,0.92,0.854,0.996,14.604939257123569,0.021010746524785295
27508,egs,DISKIRR,0.3486999869346618,10.246,14.5,1.808,0.4701,-30.0773,0.785,0.83,0.745,14.88076530362079,0.025594009082352653
21870,cosmos,DISKSPH,0.655,10.359,12.0,4.144,0.2346,57.6261,0.558,0.998,0.387,13.091339011085843,0.010204348629434867
13632,uds,DISKSPH,0.4514000117778778,10.571,11.5,9.017,0.3192,-75.3419,0.621,0.898,0.475,12.35617745181596,0.2347828413822557
6737,uds,DISKSPH,0.8238999843597412,10.661,10.5,19.196,0.8434,57.7662,0.953,0.938,0.969,10.659900218945,0.09263286460381115
25288,egs,DISK,0.7682999968528748,10.809,15.5,10.645,0.8559,-49.307,0.849,0.738,1.0,14.502039090007477,0.01941932430908
8244,goodss,DISKSPH,0.662,11.065,18.5,7.754,0.65,40.0,0.763,0.907,0.659,23.01157792050362,0.06263816225850571
2013,goodsn,DISKIRR,0.704,10.307,15.5,2.157,0.7838,-33.6941,0.7,0.538,1.0,11.15638428916612,0.06201174929694708
370,goodss,DISKSPH,0.667,10.518,7.5,24.338,0.5012,53.9613,0.528,1.0,0.358,8.085556466493436,0.019101349699082282
9249,egs,DISKSPH,0.7422999739646912,10.283,7.5,11.073,0.5155,44.3921,0.847,0.857,0.836,6.108996758077004,0.08056494261842073
16547,cosmos,DISK,0.683,10.526,10.5,13.178,0.9412,5.0569,0.785,0.706,0.883,11.80248110919219,0.3053521930653117
27857,egs,DISKSPH,0.7372000217437744,10.911,15.5,9.479,0.5536,58.7147,0.844,0.781,0.919,12.86625345521632,0.08449451721066081
1275,goodsn,DISKSPH,0.9372,10.209,9.5,8.489,0.5031,56.8191,0.751,0.998,0.602,10.464487120772821,0.013354477152456634
8892,uds,DISKSPH,0.5753999948501587,10.123,10.5,3.844,0.573,88.9625,0.798,0.67,0.986,7.230413785003414,0.05007007421319476
6884,cosmos,DISK,0.642300009727478,10.445,11.5,11.159,0.6396,50.7196,0.823,0.803,0.845,10.365099197023124,0.08916640685858301
4064,goodsn,DISK,0.456,10.642,17.5,3.986,0.5771,64.8721,0.877,0.805,0.963,18.397355058030747,0.0257616302228022
5522,cosmos,DISK,0.9513000249862672,10.412,6.5,43.511,0.4181,71.5908,0.636,1.0,0.466,9.166110135328177,0.0665581577183012
545,goodss,DISK,0.487,10.576,20.0,1.429,0.28,-5.0,0.859,1.0,0.753,22.265539642989356,0.004217203819070425
23307,goodss,DISK,0.3832,10.567,18.5,1.427,0.1995,82.9659,0.648,1.0,0.479,20.02785181844055,0.07294826458940518
25518,cosmos,DISK,0.731,10.679,10.5,24.407,0.78,90.0,0.904,0.974,0.844,11.700914261335692,0.12678754017135108
25856,egs,DISKSPH,0.7585999965667725,10.752,10.5,20.636,0.5535,28.878,0.766,1.0,0.621,12.82188892091634,0.04875074316319161
5828,cosmos,DISKSPH,0.6806,10.91,11.5,21.468,0.4349,-4.7812,0.747,0.979,0.604,11.662812047899031,0.08484071738874999
9324,goodss,DISK,0.732,10.453,16.5,11.218,0.3,-83.0,0.671,1.0,0.505,17.972995203903587,0.050478518928039784
1760,goodsn,DISK,0.934,11.071,14.5,28.589,0.66,-70.0,0.781,0.864,0.712,19.825517643757887,0.3968489853904599
16953,uds,DISK,0.785099983215332,10.251,11.5,2.445,0.2431,76.6473,0.755,0.948,0.627,10.333347177854783,0.012270403350410408
5570,goodss,DISK,0.7014999985694885,10.228,10.5,5.438,0.2567,-36.9704,0.699,0.99,0.54,10.659115447608963,0.0
22052,goodsn,DISK,0.848,10.527,9.5,15.91,0.8423,-73.8123,0.842,0.731,0.994,8.86826746144877,0.15077704655086044
11392,goodss,DISK,0.214,10.327,19.5,0.452,0.65,-20.0,0.903,0.847,0.967,21.74307397354023,0.3471374507626269
18750,goodss,DISKIRR,0.995,10.175,11.0,4.982,0.2171,51.5609,0.644,1.0,0.474,12.914155480528043,0.048119047324562514
31604,egs,DISKIRR,0.9944000244140624,10.052,10.5,6.861,0.2697,53.8206,0.569,1.0,0.397,14.267908040261794,0.05765767909227615
13677,egs,DISK,0.6696000099182129,11.146,31.5,3.075,0.8,-75.0,0.811,0.684,0.996,29.161006860823925,0.07313507414191789
9217,cosmos,DISK,0.4392000138759613,10.765,22.5,1.202,0.94,94.0,0.893,0.823,0.976,23.97347138135858,0.06289957663255241
19385,goodss,DISK,0.5487,10.698,19.5,1.493,0.8,65.0,0.86,0.754,1.0,19.32329772618692,0.1825354322700763
19757,uds,DISK,0.8004000186920166,10.626,11.5,13.644,0.3749,-50.672,0.657,0.974,0.496,19.35383884459192,0.4393190357864498
15340,cosmos,DISK,0.9074000120162964,10.916,13.5,4.697,0.95,3.0,0.874,0.789,0.979,14.949770101958165,0.016341778333020196
19758,cosmos,DISK,0.9329000115394592,10.423,10.0,9.631,0.2909,17.2722,0.644,0.998,0.475,10.77711825483297,0.04315778471473397
26782,uds,DISKSPH,0.644599974155426,10.579,13.5,8.128,0.46,40.0,0.811,0.753,0.879,10.256505900374766,0.07897496637649726
13295,goodsn,DISKIRR,0.5561,10.549,13.5,4.246,0.5071,-64.3407,0.718,0.972,0.57,14.565664868342237,0.020664858095425953
8141,goodsn,DISK,0.8413,10.658,13.5,10.404,0.5798,27.7635,0.925,0.881,0.973,13.116034168037572,0.15897855367967473
16894,uds,DISK,0.9865,10.637,13.5,8.483,0.52,-15.0,0.867,0.835,0.9,11.514992408704844,0.01130962858990514
18970,egs,DISK,0.9807999730110168,10.282,12.5,14.734,0.5429,-13.0658,0.911,0.951,0.873,12.993116962955742,0.005434822850248766
6870,uds,DISK,0.3493,10.6,14.5,0.792,0.2768,-13.0393,0.707,0.94,0.567,12.929519864992615,0.06136947968395834
22206,goodsn,DISKSPH,0.7095,10.573,10.0,14.707,0.2768,-39.8846,0.364,1.0,0.222,13.138274414741552,0.15968123327551176
15488,goodsn,DISK,0.7969,10.584,10.5,12.222,0.9,-80.0,0.917,0.997,0.849,11.877777135768456,0.15897855367967473
886,cosmos,DISKSPH,0.3465000092983246,10.028,10.5,3.518,0.3449,-62.4947,0.807,0.791,0.823,8.584727223655635,0.038995623441440364
29176,egs,DISKSPH,0.5703999996185303,10.227,11.5,6.081,0.7032,17.5658,0.846,0.745,0.979,9.984701908786699,0.09446148618625838
17598,egs,DISKIRR,0.7584999799728394,10.503,8.5,14.708,0.6032,69.2079,0.861,0.971,0.773,8.719828262853886,0.04335633848559839
835,goodss,DISK,0.6829000115394592,10.805,12.5,10.556,0.85,-60.0,0.908,0.87,0.95,12.3974395396436,0.048047603818581086
24924,goodss,DISK,0.6658,10.874,12.5,24.726,0.66,35.0,0.797,1.0,0.663,15.225719382904717,0.3757805482873037
13584,cosmos,DISK,0.339206448082135,10.218,14.5,2.595,0.9542,5.7922,0.909,0.878,0.943,15.91782556621901,0.09705602593544005
16115,goodss,DISK,0.577,10.303,17.5,1.362,0.3667,-87.6226,0.77,0.684,0.88,14.056199010614744,0.032717314959763266
7224,cosmos,DISKIRR,0.7482,10.409,8.5,16.306,0.5646,23.0576,0.81,0.926,0.72,8.087383722403347,0.12125694932339526
14786,goodsn,DISKSPH,0.561,10.745,15.5,6.112,0.55,78.0,0.897,0.873,0.922,14.623469850670823,0.10897203197520255
24009,goodsn,DISKIRR,0.944,10.42,13.5,23.597,0.5,74.0,0.827,0.837,0.816,13.471878565041058,0.027574235994410667
14228,uds,DISK,0.7582,11.009,12.0,11.685,0.298,-85.0798,0.659,0.987,0.495,12.50303532897635,0.007528337936039686
19003,egs,DISK,0.7541000247001648,10.618,11.5,7.923,0.903,53.677,0.858,0.751,1.0,10.62484113463463,0.030641876077889818
4963,goodsn,DISK,0.6337,10.329,11.5,10.003,0.7708,62.055,0.714,0.896,0.594,17.11688356242161,0.19465146266369315
17922,egs,DISK,0.3711000084877014,10.585,15.5,4.21,0.9,80.0,0.877,0.78,1.0,14.618945048287976,0.06124640747008825
19289,goodsn,DISKSPH,0.6334,10.469,15.5,2.472,0.492,-49.2048,0.832,0.726,0.975,14.001146594311054,0.0187095055577281
12887,goodss,DISK,0.997,10.792,14.5,8.025,0.7242,89.1771,0.905,0.843,0.975,12.677126741983361,0.03207835549587501
18269,goodss,DISK,0.831,10.628,15.5,9.333,0.367,-33.5537,0.885,0.963,0.819,15.731525645051887,0.025126434196754754
14743,uds,DISKSPH,0.6506,10.371,9.0,6.778,0.2978,-19.1326,0.564,0.989,0.395,9.745312032486929,0.07868787637202013
8725,cosmos,DISKSPH,0.6671,10.125,8.5,14.419,0.4342,44.8703,0.799,1.0,0.665,9.257788989042323,0.028233620201225218
10389,cosmos,DISK,0.9348000288009644,10.719,12.5,13.968,0.4067,-58.6142,0.879,0.959,0.812,13.511332272420468,0.03991646655197534
16451,goodsn,DISKSPH,0.9377,11.23,11.5,53.937,0.3843,-54.0443,0.412,1.0,0.259,17.43617662227383,0.288229217332698
9009,goodsn,DISKSPH,1.0155,11.225,18.5,8.023,0.3179,-75.8771,0.782,0.938,0.671,16.94043272850719,0.06101886314757754
6916,goodsn,DISK,0.8040000200271606,10.279,6.5,24.127,0.452,67.5171,0.825,0.97,0.718,6.570504562319237,0.07855732474907318
5195,goodsn,DISKSPH,0.979,11.185,19.5,13.251,0.75,-1.0,0.701,0.54,1.0,14.942944070733882,0.07885079118932747
17140,goodss,DISK,0.669,10.844,17.5,7.719,0.5812,51.7698,0.865,0.926,0.811,18.642498679344985,0.02817468419244995
2587,goodss,DISKIRR,0.983,10.711,14.5,8.914,0.6509,-76.657,0.888,0.864,0.915,16.912384551563832,0.19469334098615476
27488,egs,DISKSPH,0.9718999862670898,10.767,11.5,12.209,0.7,-45.0,0.916,0.891,0.942,10.212614702954216,0.05385175233993145
11118,egs,DISK,0.6759999990463257,10.321,11.5,9.998,0.4466,-77.5005,0.869,0.981,0.78,11.69147495150884,0.016475591844356652
8797,cosmos,DISKSPH,0.7504000067710876,11.224,29.5,9.207,0.5327,-72.2519,0.561,0.409,0.892,19.555776254575594,0.036150382480390486
3834,cosmos,DISK,0.2971000075340271,10.307,16.5,1.824,0.5826,34.2351,0.837,0.826,0.849,19.166856525593772,0.011867852464221396
16498,egs,DISKSPH,0.7315000295639038,10.87,15.5,8.646,0.9,45.0,0.832,0.716,0.995,15.732773161698981,0.24276484958716205
5556,goodss,DISKIRR,0.679,10.576,15.5,6.512,0.6,60.0,0.83,0.953,0.735,30.079083398374763,0.41390408277965385
20708,egs,DISK,0.9075,10.322,9.5,8.73,0.4576,-87.3796,0.816,0.96,0.71,9.476234583117419,0.03991646655197545
15541,uds,DISKIRR,0.9348000288009644,10.308,10.5,3.905,0.8138,-45.7843,0.711,0.967,0.563,19.235956469743368,0.0
20795,cosmos,DISKSPH,0.6557999849319458,11.278,20.5,11.298,0.3747,-23.9567,0.763,0.988,0.622,23.191628341075468,0.14659323367558763
24199,egs,DISK,0.9866999983787536,10.381,10.5,15.54,0.8214,-49.6588,0.847,0.762,0.953,11.585080122772926,0.18455088144184917
14342,cosmos,DISKSPH,0.2228,9.915,6.5,6.651,0.5026,62.3071,0.874,0.931,0.825,5.9678014232796635,0.05344372030122202
20413,goodss,DISK,0.524,10.325,10.5,8.035,0.7136,13.1798,0.933,0.966,0.903,11.642548667810544,0.06001282797269858
10676,goodsn,DISKIRR,0.846,10.756,17.5,3.238,0.8806,48.1863,0.734,0.671,0.809,15.587070145246669,0.14429228009418282
9958,goodss,DISKSPH,0.683,10.355,9.5,13.272,0.3628,-40.2468,0.707,0.917,0.576,8.426198347498243,0.1086996894116875
24815,egs,DISKSPH,1.0286999940872192,11.116,10.5,50.367,0.6753,-1.5385,0.831,0.996,0.713,11.496267563121286,0.06588738811564265
4515,goodsn,DISKSPH,0.9366999864578248,10.583,10.5,4.093,0.2426,-60.9075,0.547,1.0,0.377,12.050764377348203,0.11856759934577121
3674,egs,DISK,0.7911999821662903,10.439,9.5,15.103,0.4458,40.0325,0.814,0.99,0.691,9.842790310196415,0.03061414302201637
17640,cosmos,DISKSPH,0.2178000062704086,10.134,11.5,2.894,0.3399,13.5904,0.828,0.896,0.769,9.875228282822253,0.07011887905895797
2999,uds,DISK,0.5983999967575073,10.516,9.5,15.839,0.3458,-22.0854,0.619,0.987,0.451,11.458374400610792,0.20730721071104152
26068,goodsn,DISK,0.5475,10.929,24.5,2.634,0.2785,-46.5121,0.878,0.932,0.831,28.85072028106084,0.10300403015871662
15371,cosmos,DISKSPH,0.2196999937295913,9.992,8.5,3.296,0.3831,-62.7324,0.796,0.894,0.718,7.157247498620274,0.04203386539802578
14316,cosmos,DISKSPH,0.217550411333846,10.209,10.5,3.915,0.4652,-54.5909,0.874,0.925,0.829,9.556168561101126,0.03458333355317478
17798,goodsn,DISK,0.917,10.54,12.5,11.248,0.875,30.0,0.874,0.903,0.847,14.32349379733084,0.08781717693706503
14709,cosmos,DISKSPH,0.7581999897956848,10.989,14.5,11.511,0.468,61.5871,0.898,0.905,0.892,13.246728371106409,0.10333456145228348
10565,goodss,DISKSPH,0.8357999920845032,10.353,14.5,4.028,0.8341,-46.5866,0.827,0.87,0.788,24.571676057179342,0.39637771612398576
3528,goodss,DISKSPH,0.853,10.467,9.5,3.004,0.2811,78.9092,0.629,1.0,0.459,10.490225353366299,0.019419324309079777
2104,goodsn,DISKSPH,0.791,10.936,12.5,16.099,0.4835,85.1714,0.734,0.932,0.605,14.450973352011797,0.33615189198801687
22569,cosmos,DISKSPH,0.895799994468689,11.127,18.5,12.002,0.55,-15.0,0.866,0.906,0.828,19.94324504595215,0.3559545663946174
15273,cosmos,DISKIRR,0.8944000005722046,10.381,10.5,13.478,0.879,37.0582,0.864,0.874,0.855,12.319254665227788,0.029857499854668124
20731,goodss,DISK,0.5245,10.432,9.5,12.918,0.54,10.0,0.691,1.0,0.528,13.230005295071312,0.1292190469636867
1188,goodsn,DISK,0.559,9.928,14.5,0.909,0.2425,73.8916,0.781,1.0,0.64,16.679779084682217,0.022136913358410837
14677,egs,DISK,0.3767,10.957,28.5,1.482,0.37,75.0,0.888,0.975,0.814,30.688248872108904,0.02647758030986036
13676,goodsn,DISKSPH,0.7517,10.431,11.5,4.909,0.5137,78.955,0.838,0.91,0.777,10.474257701626085,0.07732593315498537
2589,uds,DISK,0.9078999757766724,10.811,10.5,39.935,0.9756,-11.3886,0.875,0.993,0.782,13.40308773116068,0.10858481789075092
6493,uds,DISKSPH,0.9416000247001648,11.031,11.5,27.443,0.4921,-43.1786,0.804,0.99,0.676,13.091583794525334,0.19722702808051362
27061,goodsn,DISKIRR,0.955,10.623,8.5,25.553,0.4039,38.6591,0.676,0.995,0.512,9.56082392084103,0.019952130168891302
20338,uds,DISKIRR,0.8974000215530396,10.258,10.5,3.198,0.3533,59.5838,0.836,0.927,0.762,10.104404756680841,0.05154196214452922
16597,uds,DISKSPH,0.6493,10.443,7.5,22.224,0.3617,22.708,0.51,1.0,0.342,8.647271974438976,0.08818380361965261
6645,goodsn,DISKSPH,0.9029,11.408,18.5,28.408,0.523,78.6558,0.912,0.986,0.849,18.861425943725802,0.35597420023012205
12606,cosmos,DISK,0.6018000245094299,11.052,21.5,5.756,0.34,-60.0,0.771,0.999,0.628,42.93535213706187,0.01410383545488414
21639,goodsn,DISKSPH,0.7041,10.963,17.5,11.007,0.73,15.0,0.856,0.985,0.756,23.034873572786573,0.24446582933061345
30440,egs,DISKSPH,0.4345000088214874,10.702,12.5,3.708,0.7902,-21.7512,0.84,0.724,1.0,10.92138993914498,0.06509975850978544
23247,cosmos,DISKSPH,0.7272,10.601,9.5,20.385,0.4175,-36.5823,0.719,0.97,0.572,9.779899733508364,0.047670911360307766
25734,goodss,DISKSPH,0.734,10.721,12.5,2.639,0.64,-25.0,0.881,0.894,0.868,11.43075231138633,0.1903862324819664
20874,uds,DISK,0.8212000131607056,10.275,10.5,11.338,0.8383,-63.2665,0.903,0.845,0.969,9.75774720837954,0.020824198901085555
7510,cosmos,DISK,0.9107999801635742,10.169,10.0,3.102,0.2772,36.0689,0.757,0.982,0.615,9.972119750725861,0.030327123857914806
9624,cosmos,DISK,0.926471,10.969,15.5,3.279,0.233,-20.9188,0.741,0.971,0.599,17.88342222173064,0.04985381241738507
14560,goodsn,DISK,0.4855,10.653,14.5,3.971,0.875,0.0,0.843,0.729,1.0,13.798069942169288,0.03331960309464632
13521,goodss,DISKSPH,0.604,10.403,8.5,15.57,0.2714,-69.9049,0.387,1.0,0.24,11.730810171692108,0.10557280900008403
18435,cosmos,DISK,0.8432000279426575,10.178,7.5,22.296,0.5129,-44.889,0.534,1.0,0.365,12.784870300117552,0.04335633848559828
5276,cosmos,DISKSPH,0.659500002861023,10.625,13.5,8.678,0.3948,74.0207,0.847,0.901,0.8,12.771494683441633,0.14834168329545605
15657,goodsn,DISKIRR,0.9115,10.407,10.5,7.017,0.5945,66.0767,0.882,0.929,0.84,11.756870835126284,0.2806142039441709
9687,cosmos,DISK,0.7577000260353088,10.415,15.5,4.433,0.47,-15.0,0.927,0.88,0.979,15.372998432244597,0.054370645531211514
9485,goodss,DISKSPH,0.5770000219345093,11.078,18.5,15.474,0.5907,-50.3475,0.807,1.0,0.676,23.496771324470814,0.16199809605751136
15725,goodss,DISK,0.311,10.978,30.5,0.479,0.2388,-82.1618,0.815,0.791,0.841,23.695102745073353,0.27391305913886654
10413,goodss,DISKSPH,1.094,11.413,29.5,9.067,0.7073,-42.407,0.787,0.649,1.0,28.230149429867236,0.282640930266273
16593,goodss,DISK,0.737,10.447,13.5,9.569,0.6596,6.4503,0.867,0.769,0.995,11.777919621683509,0.031531603776995265
28701,egs,DISKIRR,0.7433,10.168,12.5,4.434,0.4561,76.0636,0.909,0.882,0.937,12.168886128798116,0.015068008790356857
22237,goodsn,DISK,0.2537,10.54,16.5,0.617,0.7947038014074201,-7.3,0.87,1.0,0.769,19.327481143089283,0.5110372068670737
4037,goodsn,DISK,0.748,10.3,15.5,2.82,0.3006,-61.0299,0.803,0.965,0.688,16.131241404923347,0.022559293577103623
6642,goodsn,DISK,0.938,11.017,15.5,8.096,0.75,60.0,0.912,0.855,0.978,14.597058559769405,0.029285050534156865
18328,egs,DISKSPH,0.7454000115394592,10.792,10.5,19.45,0.5429,-31.6682,0.806,0.981,0.684,12.563809383813185,0.18375299773649612
8443,goodss,DISKIRR,0.979099988937378,10.454,6.5,36.644,0.7,-72.0,0.671,1.0,0.504,9.196036415755803,0.18626652879326488
10143,cosmos,DISK,0.2195000052452087,10.845,18.5,3.698,0.7,-28.5,0.929,0.91,0.95,20.010284018042512,0.031881884720235565
23633,goodss,DISK,0.677,10.576,11.5,10.818,0.6722,-59.7976,0.906,0.974,0.848,13.057227489220423,0.1392918799059678
12100,goodss,DISKSPH,0.735,10.373,12.5,6.302,0.65,-58.0,0.786,0.649,0.995,9.259269100249487,0.027093075270258726
11584,uds,DISKSPH,0.6479,10.477,11.5,10.328,0.3269,-84.3609,0.822,0.995,0.701,12.701886852382138,0.1420308215844166
6327,cosmos,DISK,0.5324,10.243,14.5,0.624,0.2598,21.5865,0.778,0.937,0.665,14.485110162575253,0.06344615434986989
26602,goodsn,DISK,0.6809,10.345,11.5,6.856,0.6,61.0,0.837,0.924,0.765,14.220352861595293,0.07383706737001305
20680,cosmos,DISKSPH,0.8522,10.779,20.5,4.329,0.7,-67.5,0.887,0.797,1.0,19.56570084496149,0.009157956180146365
10630,egs,DISKSPH,0.3664999902248382,10.631,10.5,8.274,0.6087,-21.3251,0.923,0.985,0.869,10.420267449284287,0.06200835495178447
13815,cosmos,DISK,0.6865000128746033,11.179,24.5,5.579,0.93,0.0,0.823,0.699,1.0,22.84886512769694,0.024387496305175116
16536,goodsn,DISK,0.524,10.386,10.5,6.482,0.5123,43.3303,0.821,0.979,0.708,10.963142056972785,0.07807734415902756
19402,egs,DISKSPH,0.3477999866008758,10.63,13.5,4.399,0.55,-45.0,0.896,0.927,0.867,12.330333542197467,0.10141786311237833
1281,goodsn,DISKSPH,0.8458,10.509,11.5,19.264,0.4137,-26.9918,0.722,0.982,0.571,13.210111068238627,0.031248176000783223
8144,cosmos,DISKSPH,0.958199977874756,10.687,7.5,53.833,0.5824,40.4099,0.842,0.93,0.769,7.7986271007381225,0.0476013455353782
5357,cosmos,DISKSPH,0.7483000159263611,11.109,19.5,8.927,0.8844,10.7996,0.806,0.675,1.0,16.722651629986462,0.08492063611152667
